,author,year_birth,year_dead,title,year_published,num_sentences,num_tokens,num_lemmas,longest_sentence,longest_word
4,Jakub Arbes,1840,1914,Sběhlé švícko,1875,155,3293,1150,83,17
5,Jakub Arbes,1840,1914,V staré pražské krčmě,1888,897,25657,4064,238,19
6,Jakub Arbes,1840,1914,Zbožný Tomáš,1874,226,4259,1311,66,16
0,Jakub Arbes,1840,1914,Duhový bod nad hlavou,1889,117,2579,833,74,18
0,Jakub Arbes,1840,1914,Lilie v úpalu slunečním,1891,345,7414,1979,102,19
0,Jakub Arbes,1840,1914,Moderní Magdaléna,1900,731,19439,2859,177,20
0,Jakub Arbes,1840,1914,Před domem smutku,1883,606,15444,3146,169,17
0,Jakub Arbes,1840,1914,"Připij si, břatříčku!",1892,655,15099,2812,159,17
0,Jakub Arbes,1840,1914,Svatý Václav,1899,455,11968,2354,136,24
0,Jakub Arbes,1840,1914,Trilobit,1890,163,4990,1563,145,20
1,Jakub Arbes,1840,1914,Zbožňovatel slečny Esterházy,1878,584,14170,2939,120,21
0,Jakub Arbes,1840,1914,Advokát chuďasů,1881,997,27264,3820,174,18
0,Jakub Arbes,1840,1914,Lotr Gólo,1886,1225,32599,4674,193,22
0,Miloš Urban,1967,0,Paměti poslance parlamentu,2002,3421,41455,6593,110,22
1,Jakub Arbes,1840,1914,Duhokřídlá Psyché,1891,1569,39487,5544,186,24
0,Jakub Arbes,1840,1914,Poslední dnové lidstva,1895,2858,85778,8220,164,23
0,Jakub Arbes,1840,1914,Štrajchpudlíci,1883,4509,125412,9001,252,22
0,Petr Stančík,1968,0,Mlýn na mumie,2013,3893,78607,12939,100,33
